Company Name	Programme Name	Location	Notes
Barclays	Graduate Programme 2026	4 locations
Citi	2026 Full Time Analyst	4 locations
Morgan Stanley	2026 Full Time Analyst Programme	2 locations
Goldman Sachs	2026 New Analyst	7 locations
UBS	2026 Graduate Talent Program	Switzerland
Deutsche Bank	Deutsche Bank Graduate Programme	3 locations
Bank of America	2026 Analyst	France
J.P. Morgan	2026 Full-Time Analyst Program	2 locations
Rothschild & Co.	Global Advisory - Investment Banking Graduate	France
Evercore	Analyst - Generalist Advisory 2026	Germany
Greenhill	Graduate Analyst Programme	3 locations
Lazard	Analyst - Restructuring & Debt Advisory	France
Nomura	2026 - Investment Banking - Full-Time Analyst	Germany
Houlihan Lokey	Graduate Financial Analyst - Corporate Finance	Germany
GP Bullhound	Investment Banking Analyst	Sweden
Santander	CIB 2026 Graduate Program	4 locations
UniCredit	Trainee M&A Advisory (m/f/d) – Graduate Program	Germany
Stephens	M&A Analyst	Germany
BNP Paribas	Graduate Programme	France
Standard Chartered	Graduate Programme Germany 2026	Germany
Pareto Securities	Investment banking	Frankfurt
MUFG	2026 MUFG Analyst Programme	3 locations
Bryan, Garnier & Co	Analyst, Investment Banking	3 locations
Carlsquare	M&A Analyst	2 locations
Crédit Agricole	Analyst/Analyste	3 locations
HSBC	Global Private Banking Graduate Programme 2025-2026
NatWest Markets	Stockholm Graduate Programme	Sweden
Raymond James	Investment Banking Analyst - Munich	Germany
Société Générale	Trainee	3 locations
Stifel	European Graduate Programme	2 locations
Tenzing	Analyst Programme 2026	Germany
Access Capital Partners	Analyst - Buy-out Funds of Funds	France
LGT Capital Partners	Private Equity Analyst Program	Switzerland
Partners Group	Financial Analyst Program	Switzerland
Balyasny Asset Management	Commodities Quantitative Analyst - Graduate Opportunity	Denmark
Man Group	Quantitative Research Analyst	Bulgaria
Picus Capital	Investment Analyst	Germany
Point72	Entry-Level Quantitative Researcher	France
ABN AMRO	Regulatory Report & Data Analyst	Netherlands
BNY Mellon	2026 BNY Analyst Program	2 locations
BlackRock	2026 Full-Time Analyst Programme	8 locations
DWS	2026 DWS P.A.C.E Graduate Programme	Germany
Greystar	Graduate Investment Analyst	2 locations
State Street	Praca dla absolwentów kierunków finansowych	Poland
Deloitte	[Programme Name TBC]
EY	Various Graduate Programmes	8 locations
KPMG	[Programme Name TBC]
PwC	Edge	15 locations
Advancy	Junior Consultant (Full-Time)	Germany
Management Solutions	Business Consultant	17 locations
Oxera	Graduate Analyst	2 locations
FTI Consulting	Consultant | Valuation & IP, Economic Financial Consulting	Germany
ZS	Strategy Insights & Planning Associate - 2026	Germany
Rystad Energy	Graduate Management Consultant - Summer 2026	Norway
BCG	Consultant, Full-Time	Spain
Bain & Company	Associate Consultant	15 locations
Compass Lexecon	Analyst (2025-26 Start)	6 locations
Fide Partners	Associate Consultant	Spain
L.E.K. Consulting	Associate	2 locations
McKinsey & Company	Business Analyst	20 locations
Oliver Wyman	Entry-level Consultant	7 locations
Teneo	Associate Consultant	Germany
Shell	Shell Graduate Programme 2026	2 locations
IMC Trading	Graduate Trader/Researcher (2026)	Netherlands
Optiver	Graduate Quantitative Researcher	Netherlands
Jump Trading	Campus Quantitative Researcher (Full-Time)	2 locations
Five Rings	Campus Full Time 2026 - Quantitative Trader	Netherlands
RWE	Graduate Programme	Germany
Maven Securities	Graduate Trader Programme 2026	Netherlands
Trafigura	Commercial Graduate Programme	Switzerland
Equinor	Graduate Programme 2026 - Finance and Trading	Norway
Da Vinci Trading	Various Graduate Roles	Netherlands
Flow Traders	Graduate Trader	Netherlands
Visa	Consulting & Analytics Graduate	4 locations
Frontier Economics	2026 Graduate Economic Analyst	4 locations
IG Group	Future Leaders Programme	Poland
Aurora Energy Research	Graduate Analyst Programme	2 locations
Revolut	Rev-celerator Graduate Programme 2026	4 locations
Zurich Insurance	International Insurance Traineeship	Netherlands
