Company Name	Programme Name	Location	Notes
PAI Partners	Valuation Intern | 6 Months	France
KKR	Private Equity Intern	France
Lincoln International	2027 Q1 M&A Internship	3 locations
Evercore	Off-Cycle Internship	2 locations
Houlihan Lokey	2026 Off-Cycle Internship	3 locations
Nomura	Q4 Global Markets - Off-Cycle Internship - Frankfurt	Frankfurt
Berenberg	Off-cycle Internship - Equity Capital Markets	France
FSN Capital	Private Equity Intern, 2026	3 locations
Berenberg	Internship, Investment Banking, Equity Capital Markets (Q2/Q4 2026)	Germany
General Atlantic	2026 Investment Intern, Munich (Q3 & Q4)	Germany
Ardian	Various Internships	5 locations	New internships constantly opening
IK Partners	Off-Cycle Analyst Intern	4 locations
Lazard	2026 M&A Internship	4 locations
Morgan Stanley	Various Off-Cycle Internships	8 locations
Baird	Global Investment Banking - M&A Internship Q3	Germany
Plug and Play Tech Center	Intern	Spain
SMBC	Internship / Working Student	3 locations
Scope Group	Intern Trainee - Primary Ratings Structured Finance	Germany
Five Arrows	Various Internships	France
Triton	Private Equity Intern Q4 2026	Germany
UniCredit	Various Internships	3 locations	New internships opening every day
Astorg	Sustainability Internship 2026	France
Garanti BBVA	Internship	Netherlands
UBS	Off-cycle Internship Program	Switzerland
Ufenau Capital Partners	Private Equity Stage Benelux	2 locations
Astorg	Private Equity Internship - March 2026	France
Roland Berger	Intern	4 locations
Warburg Pincus	Berlin Investing - Internship	Germany
The Riverside Company	2026 Private Equity Intern	Belgium
CVC	Off-Cycle Intern Programme	Germany
Partners Group	6-month Internship - H1 2026 - Private Credit	France
Triton	Private Equity Intern Q3 2026	Germany
Neomerge	Praktikant - M&A (m/w/d)	Germany
InfraVia Capital Partners	Private Equity - Infrastructure - Internship	France
Alantra	M&A Intern	3 locations
H.I.G. Capital	Real Estate 2025/2026 Off-Cycle Internship	Italy	Apply via email
Advancy	Internship - Strategy Consultant	2 locations
Pareto Securities	Open Application - Investment Banking Internship	Frankfurt
Skagen Capital	Investment banking intern	4 locations
Citi	Various Internships	3 locations
Metric Capital Partners	Investment Analyst Stagiaire - S1 2026	France
Mediobanca	Various Internships	4 locations
Deutsche Bank	Internship Programme - January 2026	France
Access Capital Partners	Internship - Buy-out Fund of Funds	France
TENZING Partners	M&A Intern	Luxembourg
Banco BPM	Internship in Cost Analysis and Optimization	Italy
Antin Infrastructure Partners	Investment | Internship | Paris	France
Waterland Private Equity	3 + 3 Private Equity Internship	Germany	Apply via email
Cherry Ventures	Internship Investment team - 2026	Germany
Rothschild & Co.	2026 Global Advisory Long Term Internship	4 locations
GP Bullhound	Investment Banking Internship	2 locations	Q1 2026 Start
Melotech	Fund & Investment Intern	Germany
Donner & Reuschel	Praktikant Corporate Finance	Germany
KKR	2026 Private Equity Internship	Germany
Partners Group	Intern Private Equity	Germany
Cinven	Frankfurt Private Equity Intern	Germany
Partners Group	6-month internship - Private Equity Directs, Services	Switzerland
T.Capital	Later Stage Investments - Visiting Analyst (m/f/d)	Germany
Tikehau Capital	Various Internships	3 locations
Nomura	Investment Banking Off Cycle Internship	5 locations
Oxera	Autumn Intern	2 locations
Carlsquare	M&A Internship - January 2026	France
Arma Partners	M&A Internship Munich	Germany
FTI Consulting	Praktikant | Strategic Communications	Germany
Breega	VC Analyst (internship)	France
Nordic Capital	Internship - Spring 2026	Sweden
Macquarie Group	Off-Cycle Internship Opportunity, 2026	3 locations
Alantra	Spring 2026 Internship Position	Sweden
Barclays	Off Cycle Internship Programme 2026	6 locations
M11 Funds	Investment Analyst Intern	Netherlands	Apply via email
Perella Weinberg Partners	2026 Advisory Off-Cycle Internship Programme - July	France
Perella Weinberg Partners	2026 Advisory Off Cycle Internship Programme - Q1 & Q2	Germany
Revaia	Technology Growth Equity - Investment Internship	Germany
SEB Group	Investment Banking Internship 2026	2 locations
Partners Group	Internship - Private Wealth Europe	Switzerland
William Blair	Frankfurt Investment Banking Internship - April 2026	Germany
Fidelio Capital	Investment Analyst - Internship 2025	Sweden
Temasek	Off-Cycle Internship 2026 - Investment Group	France
Compass Lexecon	Energy Intern	France
AXA	Various Internships	France
Jefferies	2025/2026 Off Cycle Internship Programme	4 locations
Eurazeo	Visiting Analyst (Internship)	Germany
Macquarie Group	Out of Cycle Internship - Real Assets	France
Stephens	M&A Intern | Q2 & Q3 2026	Germany
Altman Solon	Strategy Consulting Intern TMT (m/f/d)	3 locations
Goldman Sachs	Seasonal/Off Cycle Internship	4 locations
L.E.K. Consulting	Associate Intern (m/f/d)	3 locations
Oliver Wyman	Consultant Intern	2 locations
Ares Management	Intern	Germany
BlackRock	2026 Off-cycle Internship Programme	3 locations
Bryan, Garnier & Co	Investment Banking - Analyst Intern	2 locations
DTCP	Various Internships	Germany
StepStone Group	Business Development Intern	Switzerland
StepStone Group	Intern – Private Debt Portfolio & Risk Management	Switzerland
UBS	Stage – Assistant Banquier Privé High Net Worth	France
UBS	Internship Global Family and Institutional Wealth (GFIW)	Germany
ARC Ratings	Internship	Portugal	Always open
Ares Management	Working Student, Relationship Management	Germany
LaSalle	Working Student, Asset Management	Germany
Schroders	12-month Working Student in Private Equity Investment	Switzerland
RWE	Working Student Portfolio & Quantitative Analysis	Germany
Waterland Private Equity	Student Analyst – Copenhagen	Denmark	Apply via email
Metzler Asset Management	Student Assistant in Equity Research	Germany
Berenberg	Werkstudent	Germany
Colliers	Werkstudent / Praktikant	Germany
IMC Trading	2026 - Trader Assistant (Working Student)	Netherlands
Carlsquare	Werkstudent/in	Germany
Hiscox	Werkstudent:in	Germany
UniCredit	Various Werkstudent	Germany
