Company Name	Programme Name	Location	Notes
Bank of America	Summer 2026 Analyst Programme	3 locations
UBS	2026 Summer Internship Program	Switzerland
Barclays	Summer Internship Programme 2026	France
Goldman Sachs	2026 Summer Analyst Programme	3 locations
Citi	2026 Summer Analyst Programme	9 locations
Deutsche Bank	Das Deutsche Bank Praktikum	Germany
J.P. Morgan	Private Bank - Summer Internship Program	11 locations
Morgan Stanley	2026 Summer Analyst Programme
Rothschild & Co.	Summer Internship 2026	Germany
Perella Weinberg Partners	2026 Advisory Summer Analyst Programme	Germany
Evercore	Summer Internship Programme
Greenhill	2026 Summer Internship	Germany
Lazard	2026 Summer Internship
Moelis & Co	2026 Summer Analyst, Investment Banking
PJT Partners	2026 Summer Analyst Programme
Skagen Capital	Investment banking intern	4 locations
Pareto Securities	Open Application - Investment Banking Internship	Frankfurt
Standard Chartered	Internship Programme 2026	2 locations
Lincoln International	Female Summer Internship Program 2026	Germany
Santander	CIB 2026 Summer Internship Program	4 locations
Alantra	Summer Intern - Investment Banking - FIG	Portugal
BNP Paribas	2026 Summer Internship Programme
BNY Mellon	2026 BNY Summer Internship Program	2 locations
Bryan, Garnier & Co	2026 Summer Internship Program – Investment Banking	Germany
Crédit Agricole	Summer Internship Programme 2026
DC Advisory	Summer Analyst	7 locations	Speculative applications open year-round - apply via email
Eastdil Secured	2026 Summer Internship	3 locations
HSBC	Global Private Banking Summer Internship 2025-2026	Switzerland
Harris Williams	Summer Analyst	Germany
Mizuho	Summer Internship	Germany
Stifel	Summer Intern Program	2 locations	Speculative application - apply via email
Torch Partners	Paris Internship Scheme	France
Wells Fargo	EMEA Banking Summer Analyst	Germany
William Blair	Investment Banking Internship 2026	Germany
Brevan Howard	2026 Summer Internship Programme – Macro Trading	Switzerland
LGT Capital Partners	Private Equity Summer Internship	Switzerland
Partners Group	Summer Analyst Program	Switzerland	Only open for women
Balyasny Asset Management	Quantitative Analyst - Physical Commodities (Summer Internship)	Denmark
Citadel	Investment and Trading - Intern	France
Point72	Quantitative Researcher - Intern	France
Schonfeld	[Programme Name TBC]	Lithuania
StepStone Group	2026 Private Equity Intern
Temasek	Temasek Summer Associate Programme 2026
Waterland Private Equity	Investment Intern (Summer 2026)
Robeco	Summer Internship 2026	Netherlands
Norges Bank	Summer Internship 2026	Norway
SEB Group	Summer Internship 2026 | Private Wealth Management & Family Office	Norway
ABN AMRO	Internship Programme 2026	Netherlands
BlackRock	2026 Summer Internship Programme	9 locations
Capital Group	CAP Summer Associate - Europe (2026)
DWS	2026 DWS Internship	Germany	Off-cycle internships but can last 3 months in summer
PIMCO	2026 Summer Internship - Account Analyst	2 locations
Deloitte	Global Internship Programme	5 locations
EY	Internship	8 locations
PwC	Intern	15 locations
Roland Berger	Summer Intern 2026	2 locations
Oxera	Summer Intern	2 locations
Compass Lexecon	Intern	7 locations
McKinsey & Company	Business Analyst Intern	19 locations
Bain & Company	Associate Consultant Intern	15 locations
ZS	Strategy Insights & Planning Associate - Intern - 2026	Germany
PA Consulting	Summer Internship 2026	Norway
AlixPartners	Consulting Internship	3 locations	To open in January
BCG	Consulting - Internship
Baringa	Summer 2026 Undergraduate Internship
FTI Consulting	Intern	Spain
Guidehouse	Business Analyst Intern 2026
Hymans Robertson	Summer Internship Programme
Kearney	Summer Business Analyst	5 locations
L.E.K. Consulting	Summer Associate 2026
Oliver Wyman	Summer Intern Consultant	Spain
Flow Traders	Summer Trading Internship	Netherlands
IMC Trading	Trader Intern (2026)	Netherlands
Optiver	Quantitative Trading/Research Internship (2026 Start)	Netherlands
Jump Trading	Campus Quantitative Trader/Researcher (Intern)	2 locations
Teza Technologies	2026 Quantitative Research Internship	2 locations
IMC Trading	Accelerate Trading 2026	Netherlands
RWE	Women in Trading Summer Internship Programme	Germany
Equinor	Summer Internship 2026	Norway
Maven Securities	Trader Summer Internship 2026	Netherlands
DRW	Quantitative Trading/Research Analyst Intern	Netherlands
Da Vinci Trading	Quant Trading Intern	Netherlands
EDF Trading	Energy Commodities Trading - Internship	France
Google	Business Analyst Intern, 2026	Germany
Frontier Economics	2026 Economic Intern (Short-term)	4 locations
P&G	Finance Summer Internship 2026	Germany
Moody's	Ratings and Research Support Summer Intern	Germany
Revolut	Rev-celerator Internship Programme 2026	4 locations
Zurich Insurance	Summer Internship 2026	Germany
